"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"1" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"2" -0.000416623733097851 -0.00369403227624169 0.00301460084717684 -0.311107804389564 1.6523890868209e+21 3097935098309474304 -29671253063302004 -43271493020565.8 115973260843.362 122738615.371913 -84419.5438739253 -1325.71522090932 -34.1597244689103 -26.8651512914976
"3" -0.00140920052348526 -0.00345510745308392 0.000655003713227686 -1.79461598799507 2.49291371148983e+22 2.98164035231928e+20 1403754175017465344 3242828553364311 3481607191062.1 412537817.585447 -2746128.08653702 -2757.39294056597 -26.7829381561635 -23.4173951228826
"4" -0.00140920052348526 -0.00345510745308392 0.000655003713227686 -1.79461598799507 2.49291371148983e+22 2.98164035231928e+20 1403754175017465344 3242828553364311 3481607191062.1 412537817.585447 -2746128.08653702 -2757.39294056597 -26.7829381561635 -23.4173951228826
"5" -0.00247581759935866 -0.00484837409940681 -5.26228890985915e-05 -2.86799455346013 -1.13590905800749e+22 -2.46055680884659e+20 -2256940194749728512 -11416120825165640 -34634782623459.6 -63798978090.7525 -67758782.4495555 -34658.8265122517 -34.4902359586276 -23.6228498137209
"6" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"7" 0.0188932978858832 0.0139451058085078 0.0235865519678631 22.6261993279563 -287737242472659 117090070161148 -20160160271099.4 1912612915179.34 -108738940678.019 3749666380.78213 -74298867.4632087 676249.967517591 79.6924188611706 -82.7200198178283
"8" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"9" -0.00208374365459805 -0.00545381127037126 0.00152093668551191 -1.54847781283744 1.18703011519484e+21 19659108843010592768 120179458938135632 306659593512263 93561297803.7884 -1141400016.15341 -2309387.33142304 -2610.69911091104 -46.706332962075 -27.068995640956
"10" 0.00253533417039918 -0.0104754126333911 0.0173294810643495 0.47159678729611 14145522469627.7 -4097561707682.94 416824369350.885 -19873417880.2026 452657014.547315 -2908966.1071593 -43800.5328275372 -4535.25029885816 7.37042271451164 -37.1595642793714
"11" -0.00105827607646637 -0.00262670502622416 0.000503192218444483 -1.76724869144257 1.33020897763275e+23 1.25153958256636e+21 4675746823441768448 8676887381128607 7689110719263.77 1227491765.90265 -3271221.84028106 -2698.37027126195 -20.0579045402529 -23.2131689387706
"12" 0.000233905239022096 -0.0136445130991153 0.0161331356430436 0.0336151770411505 96300758007317 -23001780724203.6 2164740668518.72 -100198293575.659 2172377700.35397 -5962180.81154181 -635329.532234263 3249.72691543133 16.9553707459152 -38.2646658179971
"13" 0.0234779263316685 0.0105009868509052 0.0355277360389709 6.95234615778247 -2126815973983.36 887013124215.146 -148616960127.583 12612538857.6935 -539780971.809427 7592147.91901965 283885.008189257 -22423.1074521508 610.645476031771 -42.7726833121316
"14" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"15" -0.000112379181387347 -0.00418616466368715 0.0041442241176687 -0.0686576048509955 65955722524574859264 2093818231154270 -2018256738123735 -340639772127.259 14416580795.7288 3721607.4028655 -23564.1758616401 -774.792916008598 -26.818931247476 -26.853446072434
"16" -0.00283713607787116 -0.0054785273455396 -0.000100516593283165 -2.94472034632801 -6.77619120182516e+21 -1.6662064602678e+20 -1736637069649728768 -9996343602892662 -34594209729356.1 -73002661636.5019 -89650219.5165118 -54536.4603718479 -45.1883271630291 -23.8248711375205
"17" 0.00342414816543869 -0.00756594369959823 0.0174752809565934 0.703823926312876 6218954312800350 -375189901910764 8176030052831.81 -67193370604.4005 -139971782.136253 6120791.25180256 -32065.9107211329 -1891.07529057214 -20.9341887858478 -30.1442437300649
"18" 0.00927293748680534 -0.00255152918072241 0.0231884860880721 1.97384654706402 71656649195876216 -8458790157614351 413615386647223 -10822106494122.5 161911140632.208 -1335396060.7394 4650776.45266823 3369.76732916977 -27.634841560194 -36.7279461789275
"19" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"20" -0.00247581759935866 -0.00484837409940681 -5.26228890985915e-05 -2.86799455346013 -1.13590905800749e+22 -2.46055680884659e+20 -2256940194749728512 -11416120825165640 -34634782623459.6 -63798978090.7525 -67758782.4495555 -34658.8265122517 -34.4902359586276 -23.6228498137209
"21" 0.00428976669794232 -0.00707755069821326 0.0161863051587614 0.985206061481155 -962496966922526 163193460598572 -10959267207857.9 364567780024.539 -5775785980.89423 16845329.1671014 790533.972338588 -18385.6832587123 77.8339613013745 -38.1028226317155
"22" -0.00140920052348526 -0.00345510745308392 0.000655003713227686 -1.79461598799507 2.49291371148983e+22 2.98164035231928e+20 1403754175017465344 3242828553364311 3481607191062.1 412537817.585447 -2746128.08653702 -2757.39294056597 -26.7829381561635 -23.4173951228826
"23" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"24" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"25" -0.000406340555551668 -0.00307998054592712 0.00230920984416742 -0.377281036143567 -1.65431262255007e+22 -49374119910474883072 142568127379978064 431170485734317 -141419107585.193 -727153862.228763 -165762.090060682 -699.390033744601 -26.7054202150991 -26.4494483940675
"26" 0.0187773261968433 0.00752922299116382 0.0300252914346377 5.82333845730754 -38243404968351.8 12815940562500 -1746812527105.41 123340629091.964 -4639085164.70024 75997956.8881819 453748.014973186 -46522.5838401127 849.14180148415 -43.9414450473603
"27" -0.00105827607646637 -0.00262670502622416 0.000503192218444483 -1.76724869165556 1.33020897763275e+23 1.25153958256636e+21 4675746823441768448 8676887381128607 7689110719263.77 1227491765.90265 -3271221.84028106 -2698.37027126195 -20.0579045402529 -23.2131689387706
"28" 0.0191948537840946 0.0132604018028187 0.02062772742013 32.8315201100295 -65911714958178656256 6495529671971316736 -274782685305012160 6525193782225398 -95321482743198.6 880468651433.44 -5065359561.15511 17000798.0675105 -28010.0741764927 -25.8899720652726
"29" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"30" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"31" -0.00247581759935866 -0.00484837409940681 -5.26228890985915e-05 -2.86799455362238 -1.13590905800749e+22 -2.46055680884659e+20 -2256940194749728512 -11416120825165640 -34634782623459.6 -63798978090.7525 -67758782.4495555 -34658.8265122517 -34.4902359586276 -23.6228498137209
"32" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"33" 0.033874681712864 0.0198098142553557 0.0396047833114977 16.5034300759067 -87055135912559968 15937958072588376 -1241111211597808 53585149244132.5 -1398653307750.98 22484048293.7271 -215152795.743387 1080840.0447559 -1433.06580900387 -45.6610072191676
"34" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"35" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
